surface_form,search_arg,kind,pos_filter,ambiguity_flag,idiom_family,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010,n_decades_pass,min_count,max_count,total_count,notes
Insan*,insan,stem,,low,,59,213,449,768,503,493,439,511,453,416,453,531,496,557,619,594,569,586,721,787,20,59,787,10217,"Prefix catches insane, insanely, insanity, insanities."
Mad*,mad,stem,JJ,high,,542,681,837,786,1063,988,1117,1090,1416,1341,1448,1655,1503,1600,1673,1669,1757,1880,1976,1598,20,542,1976,26620,POS filter to adjectives; drops madam/made/Madison. Loses noun senses -- see madman/madhouse rows.
madman,madman,stem,,low,,84,103,133,91,74,57,61,71,69,78,102,78,67,84,112,132,129,108,111,93,20,57,133,1837,Also catches madmen; distinct from 'mad' + POS filter.
madhouse,madhouse,stem,,low,,3,8,8,10,11,10,11,9,9,17,20,23,26,25,39,27,21,28,21,15,0,3,39,341,Also catches madhouses.
madness,madness,stem,,low,,223,451,522,329,295,298,218,274,311,238,309,235,183,205,250,300,354,330,314,343,20,183,522,5982,
Lunatic,lunatic,stem,,low,,35,50,90,278,99,125,162,104,100,135,92,126,132,119,138,164,188,202,166,134,19,35,278,2639,"Catches lunatic, lunatics, lunatical."
Lunacy,lunac,stem,,low,,4,9,16,55,26,23,20,19,23,25,40,34,28,34,26,28,33,53,38,36,2,4,55,570,"Catches lunacy, lunacies."
Mental,mental,stem,,med,,356,767,1052,1096,1101,1363,1285,1321,1578,1942,2184,1494,1466,1532,1611,1550,1384,1968,2303,2504,20,356,2504,29857,"Catches mental, mentally, mentality; some non-target uses ('mental arithmetic')."
disorder,disorder,stem,,med,,305,416,465,397,401,398,381,406,434,400,497,486,581,413,569,466,537,663,1007,885,20,305,1007,10107,"Catches disorder, disorders, disordered; some non-medical usage."
Ill,ill,stem,JJ,high,,1037,1888,1911,2232,2170,2326,2396,2613,2657,2249,2451,2374,2264,2302,2304,2800,2681,2716,2700,2518,20,1037,2800,46589,POS filter to adjectives to drop illegal/illicit/illustrious. Still noisy; audit.
illness,illness,stem,,low,,111,152,180,315,323,342,372,432,342,346,447,481,542,628,615,698,652,946,969,838,20,111,969,9731,"Catches illness, illnesses."
deficiency,deficien,stem,,low,,240,500,504,580,335,321,267,205,222,278,237,304,364,476,243,322,321,287,220,176,20,176,580,6402,"Catches deficiency, deficient, deficiencies."
derangement,derange,stem,,low,,64,160,151,128,80,87,76,43,47,62,48,39,43,33,54,57,66,64,101,78,14,33,160,1481,"Catches derange, deranged, derangement, derangements."
Nervous,nervous,stem,,low,,60,229,437,603,746,1100,1105,1305,1602,1627,1686,1974,1901,2057,1889,1949,1910,1911,1920,1814,20,60,2057,27825,
Demented/Dementia,dement,stem,,low,,0,25,5,21,13,26,27,26,36,44,40,55,80,63,73,83,127,124,162,341,9,0,341,1371,"Catches demented, dementia, dementing, dementias."
Crazy/craziness,craz,stem,,low,,94,172,165,314,306,408,483,472,735,947,1165,2046,2005,2281,2477,3039,3461,3348,3622,3729,20,94,3729,31269,"Catches crazy, crazier, craziest, craziness, crazed. Some 'crazing' (pottery)."
Asylum,asylum,stem,,low,,125,184,140,228,268,209,279,281,227,209,177,161,158,132,152,161,196,197,253,416,20,125,416,4153,
Mental hospital,mental hospital,phrase,,low,,0,0,0,0,1,0,0,0,0,0,3,16,34,58,72,85,38,48,39,23,3,0,85,417,
Hospital,hospital,stem,,high,,232,561,489,819,1126,750,886,1240,1515,1807,2044,2572,3017,4001,4684,4743,4102,4844,4521,4806,20,232,4844,48759,Retained despite genericness -- 'hospital' itself has documented semantic drift 1820-now.
Mental institution,mental institution,phrase,,low,,0,0,0,0,0,0,0,0,0,0,3,1,8,17,32,30,27,35,23,18,0,0,35,194,
Institution,institution,stem,,high,,989,2199,2207,2307,2085,1615,1656,1708,1800,1727,1764,1765,1881,1532,2277,2158,2220,2483,1972,2105,20,989,2483,38450,Generic; sub-cluster analysis may reveal mental-health portion.
Sanitarium,sanitarium,stem,,low,,0,0,1,2,0,6,11,13,62,48,99,79,78,74,71,32,48,15,7,8,6,0,99,654,
Sanatorium,sanatorium,stem,,low,,0,0,0,0,0,4,0,4,22,20,24,48,20,30,38,13,16,14,8,13,0,0,48,274,
Retreat,retreat,stem,,high,,556,1024,983,842,1024,1048,852,903,806,800,738,679,821,801,726,782,833,831,1041,1006,20,556,1048,17096,Military and general senses dominate; sub-cluster analysis may isolate asylum sense.
Hospital for the insane,hospital for the insane,phrase,,low,,0,0,1,19,20,1,3,5,4,9,8,7,2,1,0,4,1,4,4,1,0,0,20,94,
State hospital,state hospital,phrase,,low,,0,0,5,13,2,1,2,9,4,21,28,20,33,67,55,52,41,18,21,28,3,0,67,420,
Bedlam,bedlam,stem,,low,,12,15,22,19,25,13,17,21,25,23,46,56,71,41,53,51,38,35,33,16,4,12,71,632,Historically the specific asylum; later generic 'chaos'.
Idiot,idiot,stem,,low,,32,116,178,211,147,199,273,406,239,257,276,412,424,519,670,585,699,911,1048,1038,19,32,1048,8640,"Catches idiot, idiots, idiotic, idiotical."
Idiocy,idiocy,stem,,low,,7,12,23,16,26,28,16,29,23,14,18,34,21,31,41,41,26,83,32,34,1,7,83,555,
Imbecile,imbecile,stem,,low,,8,22,31,77,46,70,47,40,33,43,50,63,59,42,49,45,31,25,49,38,5,8,77,868,"Catches imbecile, imbeciles, imbecility, imbecilic."
Feeble-minded,feeble-minded,stem,,low,,2,2,3,8,8,6,2,9,14,30,47,24,21,9,14,15,6,4,13,9,0,2,47,246,Depends on COHA tokenization of hyphens; verify with a spot query.
Feeble minded (two-token),feeble minded,phrase,,low,,0,1,0,0,0,0,3,0,0,1,1,2,0,1,0,1,1,0,0,2,0,0,3,13,Backup form if COHA splits on hyphen.
Feeblemindedness,feebleminded,stem,,low,,0,0,1,0,0,1,1,2,3,3,8,5,18,5,14,5,5,8,8,6,0,0,18,93,
Moron/Moronic,moron,stem,,low,,0,0,1,1,2,0,7,8,10,8,78,83,60,89,127,105,129,233,247,154,10,0,247,1342,"Catches moron, morons, moronic, moronism."
Cretin/Cretinism,cretin,stem,,low,,0,1,0,1,2,4,1,0,5,0,12,9,14,11,55,36,27,27,25,11,1,0,55,241,
Mental retardation,mental retardation,phrase,,low,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,21,10,22,42,15,0,0,42,125,
Retard,retard,stem,,med,,66,127,93,162,117,123,87,161,111,148,143,160,140,114,210,288,231,256,264,154,20,66,288,3155,Pre-20thc verb sense 'to slow' also present; clinical/pejorative sense emerges over time -- exactly the drift signal.
Mental deficiency,mental deficiency,phrase,,low,,0,0,0,1,0,1,1,0,1,3,4,5,9,5,4,1,1,1,5,2,0,0,9,44,
Mentally defective,mentally defective,phrase,,low,,0,0,0,0,0,0,0,0,6,3,8,8,9,5,3,3,4,1,3,1,0,0,9,54,
Congenital deficiency,congenital deficiency,phrase,,low,,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,
Melancholia/Melancholy,melanchol,stem,,low,,665,1025,789,755,652,598,503,415,416,376,341,293,294,255,273,242,237,190,215,194,20,190,1025,8728,"Catches melancholy, melancholic, melancholia, melancholics."
